year,postcode,suburb,emission_source,total_electricity_kwh,average_intensity_kwh_per_customer_per_annum,average_intensity_kwh_per_customer_per_day,scope_2_kg_co2e,scope_3_kg_co2e,total_emissions_kg_co2e,average_emissions_per_customer_kg_co2e,average_emissions_energy_per_customer_kg_co2e_per_day,rest_of_municipality_total_electricity_kwh,rest_of_municipality_emissions_kg_co2e,total_cost,average_intensity_household_per_day,average_intensity_household_per_month,average_intensity_household_per_annum
2020,3156,Lysterfield South,Electricity,2421938.0,9244.0,25.0,2373499.0,266413.0,2639912.0,10076.0,27.0,522087258.0,415346425.0,673828.0,7.0,214.0,2571.0
2020,3177,Doveton and Eumemmerring,Electricity,16768410.0,3691.0,10.0,16433041.0,1844525.0,18277566.0,4024.0,11.0,507740786.0,399708771.0,5376925.0,3.0,98.0,1183.0
2020,3802,Endeavour Hills,Electricity,37133916.0,4346.0,11.0,36391237.0,4084730.0,40475968.0,4738.0,12.0,487375280.0,377510369.0,11511894.0,3.0,112.0,1347.0
2020,3803,Hallam,Electricity,15799475.0,3972.0,10.0,15483485.0,1737942.0,17221427.0,4329.0,11.0,508709721.0,400764910.0,4987374.0,1.0,53.0,643.0
2020,3804,Narre Warren North,Electricity,19159882.0,8194.0,22.0,18776684.0,2107587.0,20884271.0,8932.0,24.0,505349314.0,397102066.0,5399848.0,3.0,102.0,1231.0
2020,3805,Narre Warren and Narre Warren South,Electricity,85868899.0,4448.0,12.0,84151521.0,9445578.0,93597099.0,4848.0,13.0,438640297.0,324389238.0,26502500.0,1.0,58.0,697.0
2020,3806,Berwick and Harkaway,Electricity,86626806.0,4706.0,12.0,84894270.0,9528948.0,94423219.0,5130.0,14.0,437882390.0,323563118.0,26457990.0,2.0,61.0,736.0
2020,3807,Beaconsfield,Electricity,1094897.0,5732.0,15.0,1072999.0,120438.0,1193438.0,6248.0,17.0,523414299.0,416792899.0,323547.0,4.0,141.0,1693.0
2020,3912,Pearcedale,Electricity,10112869.0,6561.0,17.0,9910612.0,1112415.0,11023028.0,7151.0,19.0,514396327.0,406963309.0,2930281.0,1.0,37.0,448.0
2020,3975,Lynbrook and Lyndhurst,Electricity,20781457.0,3959.0,10.0,20365828.0,2285960.0,22651788.0,4315.0,11.0,503727739.0,395334549.0,6564589.0,1.0,53.0,639.0
