postcode,suburb,latitude,longitude
3156,Lysterfield South,-37.9524944339476,145.266960705612
3177,Doveton and Eumemmerring,-37.9905805847808,145.240222212322
3802,Endeavour Hills,-37.9702038793286,145.256272338178
3803,Hallam,-38.00756708105,145.268916755207
3804,Narre Warren North,-37.981924940045,145.313257480143
3805,Narre Warren and Narre Warren South,-38.0365641138569,145.304281920022
3806,Berwick and Harkaway,-38.0273730191271,145.351628928747
3807,Beaconsfield,-38.0552134437306,145.36604029059
3912,Pearcedale,-38.1971226499543,145.250754858425
3975,Lynbrook and Lyndhurst,-38.0618595131698,145.253027229729
3976,Hampton Park,-38.0386345283274,145.268663101743
3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",-38.1373570535877,145.28364229783
3978,Clyde and Clyde North,-38.1287744862179,145.355878543148
3980,"Blind Bight , Tooradin and Warneet",-38.2054916327087,145.369952246374
