postcode,suburb,total_emissions_kg_co2e,average_emissions_per_customer_kg_co2e,total_emissions_kg_co2e,average_emissions_per_customer_kg_co2e
3156,Lysterfield South,741100.0,3236.0,2639912.0,10076.0
3156,Lysterfield South,741100.0,3236.0,2602140.0,10046.0
3156,Lysterfield South,741100.0,3236.0,2258461.0,8686.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,18277566.0,4024.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,17195184.0,3801.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,15832401.0,3429.0
3802,Endeavour Hills,28895656.0,3389.0,40475968.0,4738.0
3802,Endeavour Hills,28895656.0,3389.0,38794677.0,4549.0
3802,Endeavour Hills,28895656.0,3389.0,34293857.0,3991.0
3803,Hallam,10799081.0,2863.0,17221427.0,4329.0
3803,Hallam,10799081.0,2863.0,16585788.0,4245.0
3803,Hallam,10799081.0,2863.0,13936850.0,3607.0
3804,Narre Warren North,9270980.0,4529.0,20884271.0,8932.0
3804,Narre Warren North,9270980.0,4529.0,19766002.0,8769.0
3804,Narre Warren North,9270980.0,4529.0,17122190.0,7405.0
3805,Narre Warren and Narre Warren South,61483768.0,3289.0,93597099.0,4848.0
3805,Narre Warren and Narre Warren South,61483768.0,3289.0,89299817.0,4661.0
3805,Narre Warren and Narre Warren South,61483768.0,3289.0,73879004.0,3860.0
3806,Berwick and Harkaway,59283998.0,3386.0,94423219.0,5130.0
3806,Berwick and Harkaway,59283998.0,3386.0,91054764.0,5013.0
3806,Berwick and Harkaway,59283998.0,3386.0,76740174.0,4093.0
3807,Beaconsfield,581573.0,3567.0,1193438.0,6248.0
3807,Beaconsfield,581573.0,3567.0,1174234.0,6147.0
3807,Beaconsfield,581573.0,3567.0,1007084.0,5272.0
3912,Pearcedale,3597158.0,2792.0,11023028.0,7151.0
3912,Pearcedale,3597158.0,2792.0,9870511.0,6558.0
3912,Pearcedale,3597158.0,2792.0,8072591.0,5300.0
3975,Lynbrook and Lyndhurst,15610584.0,3112.0,22651788.0,4315.0
3975,Lynbrook and Lyndhurst,15610584.0,3112.0,22074742.0,4248.0
3975,Lynbrook and Lyndhurst,15610584.0,3112.0,17896090.0,3560.0
3976,Hampton Park,23137247.0,2736.0,35596264.0,4132.0
3976,Hampton Park,23137247.0,2736.0,33863578.0,3956.0
3976,Hampton Park,23137247.0,2736.0,27630674.0,3298.0
3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",99231592.0,2713.0,154556699.0,4510.0
3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",99231592.0,2713.0,150284560.0,4427.0
3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",99231592.0,2713.0,152452272.0,3824.0
3978,Clyde and Clyde North,31426095.0,2422.0,48170145.0,3468.0
3978,Clyde and Clyde North,31426095.0,2422.0,52780429.0,3968.0
3978,Clyde and Clyde North,31426095.0,2422.0,51608580.0,3135.0
3980,"Blind Bight , Tooradin and Warneet",0.0,0.0,11782528.0,8682.0
3980,"Blind Bight , Tooradin and Warneet",0.0,0.0,10633314.0,8346.0
3980,"Blind Bight , Tooradin and Warneet",0.0,0.0,9313318.0,6919.0
3156,Lysterfield South,741100.0,3236.0,2639912.0,10076.0
3156,Lysterfield South,741100.0,3236.0,2602140.0,10046.0
3156,Lysterfield South,741100.0,3236.0,2258461.0,8686.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,18277566.0,4024.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,17195184.0,3801.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,15832401.0,3429.0
3802,Endeavour Hills,28895656.0,3389.0,40475968.0,4738.0
3802,Endeavour Hills,28895656.0,3389.0,38794677.0,4549.0
3802,Endeavour Hills,28895656.0,3389.0,34293857.0,3991.0
3803,Hallam,10713728.0,2831.0,17221427.0,4329.0
3803,Hallam,10713728.0,2831.0,16585788.0,4245.0
3803,Hallam,10713728.0,2831.0,13936850.0,3607.0
3804,Narre Warren North,9178919.0,4457.0,20884271.0,8932.0
3804,Narre Warren North,9178919.0,4457.0,19766002.0,8769.0
3804,Narre Warren North,9178919.0,4457.0,17122190.0,7405.0
3805,Narre Warren and Narre Warren South,60330273.0,3210.0,93597099.0,4848.0
3805,Narre Warren and Narre Warren South,60330273.0,3210.0,89299817.0,4661.0
3805,Narre Warren and Narre Warren South,60330273.0,3210.0,73879004.0,3860.0
3806,Berwick and Harkaway,58742547.0,3292.0,94423219.0,5130.0
3806,Berwick and Harkaway,58742547.0,3292.0,91054764.0,5013.0
3806,Berwick and Harkaway,58742547.0,3292.0,76740174.0,4093.0
3807,Beaconsfield,583953.0,3455.0,1193438.0,6248.0
3807,Beaconsfield,583953.0,3455.0,1174234.0,6147.0
3807,Beaconsfield,583953.0,3455.0,1007084.0,5272.0
3912,Pearcedale,3501798.0,2691.0,11023028.0,7151.0
3912,Pearcedale,3501798.0,2691.0,9870511.0,6558.0
3912,Pearcedale,3501798.0,2691.0,8072591.0,5300.0
3975,Lynbrook and Lyndhurst,15664785.0,3069.0,22651788.0,4315.0
3975,Lynbrook and Lyndhurst,15664785.0,3069.0,22074742.0,4248.0
3975,Lynbrook and Lyndhurst,15664785.0,3069.0,17896090.0,3560.0
3976,Hampton Park,22454337.0,2648.0,35596264.0,4132.0
3976,Hampton Park,22454337.0,2648.0,33863578.0,3956.0
3976,Hampton Park,22454337.0,2648.0,27630674.0,3298.0
3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",99596771.0,2646.0,154556699.0,4510.0
3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",99596771.0,2646.0,150284560.0,4427.0
3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",99596771.0,2646.0,152452272.0,3824.0
3978,Clyde and Clyde North,35324669.0,2413.0,48170145.0,3468.0
3978,Clyde and Clyde North,35324669.0,2413.0,52780429.0,3968.0
3978,Clyde and Clyde North,35324669.0,2413.0,51608580.0,3135.0
3980,"Blind Bight , Tooradin and Warneet",0.0,0.0,11782528.0,8682.0
3980,"Blind Bight , Tooradin and Warneet",0.0,0.0,10633314.0,8346.0
3980,"Blind Bight , Tooradin and Warneet",0.0,0.0,9313318.0,6919.0
3156,Lysterfield South,741100.0,3236.0,2639912.0,10076.0
3156,Lysterfield South,741100.0,3236.0,2602140.0,10046.0
3156,Lysterfield South,741100.0,3236.0,2258461.0,8686.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,18277566.0,4024.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,17195184.0,3801.0
3177,Doveton and Eumemmerring,10804216.0,2328.0,15832401.0,3429.0
3802,Endeavour Hills,28895656.0,3389.0,40475968.0,4738.0
3802,Endeavour Hills,28895656.0,3389.0,38794677.0,4549.0
3802,Endeavour Hills,28895656.0,3389.0,34293857.0,3991.0
3803,Hallam,10571069.0,2778.0,17221427.0,4329.0
3803,Hallam,10571069.0,2778.0,16585788.0,4245.0
3803,Hallam,10571069.0,2778.0,13936850.0,3607.0
3804,Narre Warren North,8924652.0,4303.0,20884271.0,8932.0
3804,Narre Warren North,8924652.0,4303.0,19766002.0,8769.0
3804,Narre Warren North,8924652.0,4303.0,17122190.0,7405.0
3805,Narre Warren and Narre Warren South,59022642.0,3131.0,93597099.0,4848.0
3805,Narre Warren and Narre Warren South,59022642.0,3131.0,89299817.0,4661.0
3805,Narre Warren and Narre Warren South,59022642.0,3131.0,73879004.0,3860.0
3806,Berwick and Harkaway,58074970.0,3180.0,94423219.0,5130.0
3806,Berwick and Harkaway,58074970.0,3180.0,91054764.0,5013.0
3806,Berwick and Harkaway,58074970.0,3180.0,76740174.0,4093.0
3807,Beaconsfield,542491.0,2840.0,1193438.0,6248.0
